id_provincia_indec,puestos
2,5448
2,114
2,571
2,-99
2,2701
2,165
2,359
2,1384
2,15326
2,3557
2,362
2,7420
2,13601
2,3843
2,702
2,3109
2,4291
2,1124
2,8412
2,9735
2,4851
2,2026
2,2275
2,5389
2,3851
2,3797
2,3250
2,5006
2,694
2,1665
2,1793
2,1175
2,3368
2,43
2,94
2,1553
2,87
2,16707
2,7136
2,5563
2,11406
2,50704
2,63487
2,26192
2,1648
2,1875
2,13090
2,3685
2,7886
2,33504
2,7426
2,4773
2,9998
2,11635
2,34896
2,3311
2,24658
2,24348
2,5630
2,18107
2,17418
2,14471
2,7258
2,1858
2,9260
2,1537
2,206
2,1513
2,6259
2,6029
2,15436
2,13129
2,25003
2,67858
2,43358
2,3424
2,437
2,1626
2,577
2,3291
2,6971
2,62302
2,1032
2,8108
2,2798
6,432
6,-99
6,-99
6,3
6,126
6,4
6,7
6,-99
6,11
6,5
6,6
6,3
6,6
6,-99
6,40
6,-99
6,4
6,17
6,-99
6,3
6,-99
6,-99
6,4
6,71
6,-99
6,16
6,44
6,3
6,43
6,234
6,207
6,71
6,4
6,5
6,33
6,23
6,-99
6,9
6,8
6,7
6,17
6,8
6,3
6,23
6,44
6,9
6,5
6,-99
6,-99
6,3
6,3
6,3
6,11
6,7
6,14
6,22
6,14
6,180
6,20
6,8
6,6
6,-99
6,70
6,-99
6,9
6,-99
6,370
6,-99
6,-99
6,-99
6,106
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,4
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,-99
6,27
6,16
6,7
6,4
6,16
6,128
6,151
6,92
6,4
6,6
6,14
6,11
6,10
6,-99
6,4
6,10
6,10
6,9
6,20
6,21
6,9
6,3
6,-99
6,-99
6,9
6,-99
6,5
6,8
6,4
6,121
6,28
6,-99
6,-99
6,9
6,-99
6,20
6,3
6,3
6,299
6,74
6,3
6,-99
6,3
6,10
6,4
6,3
6,16
6,4
6,17
6,5
6,10
6,4
6,-99
6,4
6,3
6,-99
6,16
6,-99
6,9
6,4
6,8
6,10
6,232
6,106
6,67
6,3
6,-99
6,-99
6,26
6,-99
6,15
6,9
6,5
6,-99
6,11
6,8
6,4
6,22
6,13
6,5
6,-99
6,3
6,11
6,11
6,12
6,10
6,102
6,38
6,19
6,3
6,3
6,29
6,3
6,-99
6,319
6,4
6,37
6,52
6,5
6,29
6,23
6,3768
6,579
6,33
6,804
6,907
6,1012
6,228
6,728
6,789
6,208
6,891
6,620
6,1310
6,1309
6,740
6,1938
6,306
6,736
6,740
6,1158
6,112
6,344
6,247
6,111
6,428
6,4
6,11
6,445
6,3
6,2891
6,1988
6,1654
6,1257
6,4569
6,9132
6,6404
6,195
6,105
6,1698
6,608
6,872
6,4341
6,334
6,159
6,430
6,648
6,1057
6,149
6,1013
6,1201
6,255
6,1097
6,651
6,976
6,727
6,40
6,261
6,144
6,15
6,111
6,1708
6,278
6,3964
6,3238
6,2091
6,5750
6,4335
6,841
6,114
6,84
6,36
6,657
6,787
6,3716
6,116
6,925
6,227
6,199
6,13
6,35
6,88
6,7
6,42
6,59
6,1562
6,522
6,59
6,586
6,884
6,872
6,145
6,619
6,733
6,275
6,735
6,801
6,820
6,492
6,308
6,1420
6,316
6,512
6,949
6,425
6,173
6,247
6,276
6,145
6,930
6,15
6,349
6,9
6,1393
6,1020
6,968
6,1199
6,4321
6,6806
6,4228
6,229
6,74
6,2143
6,566
6,769
6,3627
6,440
6,147
6,491
6,817
6,1416
6,221
6,1589
6,1736
6,360
6,872
6,905
6,892
6,563
6,46
6,351
6,90
6,15
6,138
6,1057
6,268
6,2301
6,3027
6,2197
6,3852
6,3270
6,295
6,18
6,150
6,22
6,703
6,744
6,3369
6,92
6,699
6,206
6,784
6,-99
6,-99
6,-99
6,-99
6,64
6,6
6,-99
6,-99
6,-99
6,-99
6,5
6,-99
6,37
6,-99
6,-99
6,-99
6,210
6,4
6,-99
6,-99
6,-99
6,21
6,14
6,19
6,6
6,33
6,108
6,290
6,52
6,5
6,4
6,21
6,44
6,-99
6,17
6,7
6,10
6,29
6,15
6,7
6,55
6,14
6,13
6,6
6,-99
6,-99
6,25
6,4
6,-99
6,8
6,12
6,5
6,88
6,29
6,5
6,-99
6,20
6,8
6,56
6,8
6,6
6,1335
6,3
6,3
6,3
6,41
6,3
6,442
6,17
6,-99
6,53
6,20
6,4
6,3
6,4
6,12
6,14
6,36
6,10
6,6
6,506
6,14
6,22
6,6
6,-99
6,22
6,-99
6,4
6,11
6,212
6,12
6,98
6,77
6,258
6,75
6,188
6,625
6,1172
6,482
6,-99
6,30
6,26
6,54
6,140
6,43
6,3
6,59
6,21
6,32
6,4
6,118
6,73
6,21
6,151
6,90
6,48
6,52
6,-99
6,7
6,15
6,31
6,4
6,38
6,10
6,88
6,88
6,144
6,508
6,306
6,68
6,20
6,-99
6,-99
6,71
6,58
6,414
6,5
6,57
6,29
6,746
6,4
6,211
6,422
6,38
6,57
6,572
6,2215
6,532
6,-99
6,180
6,90
6,19
6,156
6,75
6,145
6,41
6,2098
6,154
6,187
6,174
6,66
6,763
6,62
6,160
6,146
6,44
6,70
6,175
6,54
6,231
6,639
6,6
6,10
6,356
6,15
6,1971
6,1027
6,1040
6,1944
6,3767
6,7218
6,4374
6,113
6,25
6,2018
6,175
6,369
6,1988
6,267
6,28
6,387
6,569
6,410
6,7
6,648
6,535
6,140
6,787
6,411
6,422
6,1184
6,30
6,144
6,47
6,16
6,159
6,542
6,160
6,1365
6,725
6,968
6,2869
6,2310
6,244
6,5
6,22
6,3
6,411
6,519
6,3302
6,47
6,466
6,104
6,1818
6,-99
6,3
6,-99
6,15
6,4
6,960
6,13
6,5
6,23
6,-99
6,5
6,55
6,90
6,3
6,49
6,5
6,37
6,-99
6,3
6,31
6,21
6,5
6,3
6,13
6,150
6,16
6,38
6,46
6,61
6,34
6,197
6,547
6,798
6,251
6,-99
6,-99
6,35
6,5
6,67
6,158
6,6
6,-99
6,23
6,35
6,15
6,4
6,72
6,34
6,12
6,130
6,67
6,37
6,19
6,33
6,10
6,11
6,8
6,13
6,78
6,8
6,58
6,67
6,69
6,286
6,98
6,30
6,3
6,5
6,35
6,39
6,171
6,32
6,18
6,414
6,3
6,3
6,-99
6,40
6,-99
6,966
6,164
6,6
6,17
6,246
6,4
6,152
6,-99
6,5
6,86
6,6
6,-99
6,8
6,32
6,112
6,-99
6,18
6,11
6,422
6,-99
6,-99
6,7
6,41
6,4
6,-99
6,4
6,104
6,146
6,212
6,43
6,200
6,541
6,282
6,4
6,-99
6,47
6,10
6,25
6,80
6,4
6,19
6,10
6,23
6,35
6,48
6,15
6,65
6,43
6,31
6,52
6,-99
6,9
6,-99
6,7
6,10
6,168
6,8
6,120
6,104
6,121
6,302
6,118
6,62
6,-99
6,28
6,14
6,511
6,-99
6,20
6,10
6,681
6,-99
6,-99
6,-99
6,617
6,6
6,67
6,510
6,87
6,-99
6,10
6,25
6,-99
6,15
6,3
6,-99
6,36
6,-99
6,-99
6,90
6,17
6,-99
6,-99
6,-99
6,45
6,-99
6,17
6,43
6,33
6,153
6,290
6,488
6,242
6,10
6,6
6,15
6,31
6,4
6,4
6,17
6,7
6,8
6,31
6,20
6,14
6,51
6,43
6,50
6,40
6,3
6,14
6,-99
6,-99
6,6
6,18
6,-99
6,77
6,31
6,29
6,117
6,60
6,3
6,-99
6,10
6,5
6,46
6,19
6,4
6,707
6,-99
6,3
6,83
6,121
6,8
6,13
6,7
6,-99
6,-99
6,5
6,-99
6,184
6,-99
6,8
6,7
6,3
6,-99
6,54
6,-99
6,14
6,22
6,13
6,15
6,292
6,337
6,81
6,21
6,4
6,11
6,36
6,8
6,14
6,6
6,7
6,19
6,10
6,7
6,31
6,26
6,12
6,4
6,-99
6,-99
6,5
6,16
6,3
6,28
6,51
6,7
6,120
6,26
6,-99
6,63
6,-99
6,10
6,4
6,65
6,22
6,12
6,186
6,3
6,35
6,38
6,13
6,52
6,30
6,1432
6,790
6,52
6,687
6,353
6,426
6,205
6,1032
6,276
6,126
6,520
6,577
6,968
6,1239
6,501
6,1054
6,155
6,349
6,676
6,282
6,84
6,141
6,131
6,71
6,291
6,12
6,13
6,251
6,3
6,1708
6,1102
6,990
6,781
6,2428
6,4953
6,3892
6,184
6,39
6,962
6,285
6,582
6,2209
6,159
6,47
6,278
6,338
6,618
6,65
6,649
6,751
6,159
6,634
6,371
6,439
6,374
6,24
6,135
6,53
